id,pokemon_id,move_id
0,1,13
1,1,14
2,1,15
3,1,20
4,1,22
5,1,29
6,1,33
7,1,34
8,1,36
9,1,38
10,1,45
11,1,70
12,1,72
13,1,73
14,1,74
15,1,75
16,1,76
17,1,77
18,1,79
19,1,80
20,1,81
21,1,92
22,1,99
23,1,102
24,1,104
25,1,111
26,1,113
27,1,115
28,1,117
29,1,124
30,1,130
31,1,133
32,1,148
33,1,156
34,1,164
35,1,173
36,1,174
37,1,182
38,1,188
39,1,189
40,1,200
41,1,202
42,1,203
43,1,204
44,1,206
45,1,207
46,1,210
47,1,213
48,1,214
49,1,216
50,1,218
51,1,219
52,1,230
53,1,235
54,1,237
55,1,241
56,1,249
57,1,263
58,1,267
59,1,270
60,1,275
61,1,282
62,1,290
63,1,311
64,1,320
65,1,331
66,1,345
67,1,363
68,1,388
69,1,402
70,1,412
71,1,437
72,1,438
73,1,445
74,1,447
75,1,474
76,1,491
77,1,496
78,1,497
79,1,520
80,1,526
81,1,580
82,1,590
83,1,803
84,1,851
85,1,885
86,2,14
87,2,15
88,2,20
89,2,22
90,2,29
91,2,33
92,2,34
93,2,36
94,2,38
95,2,45
96,2,46
97,2,70
98,2,72
99,2,73
100,2,74
101,2,75
102,2,76
103,2,77
104,2,79
105,2,80
106,2,81
107,2,92
108,2,99
109,2,102
110,2,104
111,2,111
112,2,113
113,2,115
114,2,117
115,2,133
116,2,148
117,2,156
118,2,164
119,2,173
120,2,174
121,2,182
122,2,188
123,2,189
124,2,200
125,2,202
126,2,203
127,2,204
128,2,206
129,2,207
130,2,210
131,2,213
132,2,214
133,2,216
134,2,218
135,2,219
136,2,230
137,2,235
138,2,237
139,2,241
140,2,249
141,2,263
142,2,267
143,2,270
144,2,275
145,2,282
146,2,290
147,2,311
148,2,331
149,2,345
150,2,363
151,2,388
152,2,402
153,2,412
154,2,437
155,2,438
156,2,445
157,2,447
158,2,474
159,2,491
160,2,496
161,2,497
162,2,520
163,2,526
164,2,580
165,2,590
166,2,803
167,2,851
168,2,885
169,3,14
170,3,15
171,3,20
172,3,22
173,3,29
174,3,33
175,3,34
176,3,36
177,3,38
178,3,45
179,3,46
180,3,63
181,3,70
182,3,72
183,3,73
184,3,74
185,3,75
186,3,76
187,3,77
188,3,79
189,3,80
190,3,81
191,3,89
192,3,92
193,3,99
194,3,102
195,3,104
196,3,111
197,3,113
198,3,115
199,3,117
200,3,133
201,3,148
202,3,156
203,3,164
204,3,173
205,3,174
206,3,182
207,3,184
208,3,188
209,3,189
210,3,200
211,3,202
212,3,203
213,3,204
214,3,206
215,3,207
216,3,210
217,3,213
218,3,214
219,3,216
220,3,218
221,3,219
222,3,230
223,3,235
224,3,237
225,3,241
226,3,249
227,3,263
228,3,267
229,3,270
230,3,275
231,3,282
232,3,290
233,3,311
234,3,331
235,3,335
236,3,338
237,3,345
238,3,363
239,3,388
240,3,398
241,3,402
242,3,412
243,3,414
244,3,416
245,3,431
246,3,437
247,3,438
248,3,445
249,3,447
250,3,474
251,3,491
252,3,496
253,3,497
254,3,520
255,3,523
256,3,526
257,3,572
258,3,580
259,3,590
260,3,707
261,3,803
262,3,805
263,3,851
264,3,885
265,4,5
266,4,7
267,4,9
268,4,10
269,4,14
270,4,15
271,4,17
272,4,25
273,4,29
274,4,34
275,4,36
276,4,38
277,4,43
278,4,44
279,4,45
280,4,46
281,4,52
282,4,53
283,4,66
284,4,68
285,4,69
286,4,70
287,4,82
288,4,83
289,4,91
290,4,92
291,4,99
292,4,102
293,4,104
294,4,108
295,4,111
296,4,115
297,4,117
298,4,126
299,4,129
300,4,130
301,4,154
302,4,156
303,4,157
304,4,163
305,4,164
306,4,173
307,4,174
308,4,182
309,4,184
310,4,187
311,4,189
312,4,200
313,4,203
314,4,206
315,4,207
316,4,210
317,4,213
318,4,214
319,4,216
320,4,218
321,4,223
322,4,225
323,4,231
324,4,232
325,4,237
326,4,241
327,4,242
328,4,246
329,4,249
330,4,251
331,4,257
332,4,261
333,4,263
334,4,264
335,4,270
336,4,280
337,4,290
338,4,311
339,4,314
340,4,315
341,4,317
342,4,332
343,4,337
344,4,349
345,4,363
346,4,374
347,4,394
348,4,406
349,4,407
350,4,411
351,4,421
352,4,424
353,4,445
354,4,468
355,4,481
356,4,488
357,4,496
358,4,497
359,4,510
360,4,512
361,4,517
362,4,519
363,4,525
364,4,526
365,4,590
366,4,612
367,4,784
368,4,851
369,4,915
370,5,5
371,5,7
372,5,9
373,5,10
374,5,14
375,5,15
376,5,25
377,5,29
378,5,34
379,5,36
380,5,38
381,5,43
382,5,44
383,5,45
384,5,46
385,5,52
386,5,53
387,5,66
388,5,68
389,5,69
390,5,70
391,5,82
392,5,83
393,5,91
394,5,92
395,5,99
396,5,102
397,5,104
398,5,108
399,5,111
400,5,115
401,5,117
402,5,126
403,5,129
404,5,130
405,5,154
406,5,156
407,5,157
408,5,163
409,5,164
410,5,173
411,5,174
412,5,182
413,5,184
414,5,187
415,5,189
416,5,200
417,5,203
418,5,206
419,5,207
420,5,210
421,5,213
422,5,214
423,5,216
424,5,218
425,5,223
426,5,225
427,5,231
428,5,232
429,5,237
430,5,241
431,5,242
432,5,246
433,5,249
434,5,251
435,5,257
436,5,261
437,5,263
438,5,264
439,5,270
440,5,280
441,5,290
442,5,311
443,5,315
444,5,317
445,5,332
446,5,337
447,5,349
448,5,363
449,5,374
450,5,394
451,5,406
452,5,407
453,5,411
454,5,421
455,5,424
456,5,445
457,5,468
458,5,481
459,5,488
460,5,496
461,5,497
462,5,510
463,5,512
464,5,517
465,5,519
466,5,525
467,5,526
468,5,590
469,5,612
470,5,784
471,5,851
472,5,915
473,6,5
474,6,7
475,6,9
476,6,10
477,6,14
478,6,15
479,6,17
480,6,19
481,6,25
482,6,29
483,6,34
484,6,36
485,6,38
486,6,43
487,6,44
488,6,45
489,6,46
490,6,52
491,6,53
492,6,63
493,6,66
494,6,68
495,6,69
496,6,70
497,6,76
498,6,82
499,6,83
500,6,89
501,6,90
502,6,91
503,6,92
504,6,99
505,6,102
506,6,104
507,6,108
508,6,111
509,6,115
510,6,117
511,6,126
512,6,129
513,6,130
514,6,154
515,6,156
516,6,157
517,6,163
518,6,164
519,6,173
